"Item ID","Title","Brand","Condition","Availability","Price","Currency","Product type","Custom label 0","Custom label 1","Feed label","Channel","Product link"
"2763","Apple AirPods Pro with Wireless Charging Case [Grade A]","Apple","refurbished","out of stock","189.00","AUD","accessories","price_101_600","margin_high","AU","online","https://www.phonebot.com.au/apple-airpods/apple-airpods-pro-grade-a"
"2764","Apple AirPods Pro with Wireless Charging Case [Grade B]","Apple","refurbished","out of stock","169.00","AUD","Covers","price_101_600","margin_high","AU","local","https://www.phonebot.com.au/apple-airpods/apple-airpods-pro-grade-b"
"2764","Apple AirPods Pro with Wireless Charging Case [Grade B]","Apple","refurbished","out of stock","169.00","AUD","Covers","price_101_600","margin_high","AU","online","https://www.phonebot.com.au/apple-airpods/apple-airpods-pro-grade-b"
"2765","Apple AirPods Pro with Wireless Charging Case [Like New]","Apple","refurbished","out of stock","219.00","AUD","Covers","price_101_600","margin_high","AU","local","https://www.phonebot.com.au/apple-airpods/apple-airpods-pro-like-new"
"2765","Apple AirPods Pro with Wireless Charging Case [Like New]","Apple","refurbished","out of stock","219.00","AUD","Covers","price_101_600","margin_high","AU","online","https://www.phonebot.com.au/apple-airpods/apple-airpods-pro-like-new"
"2766","Case-Mate Rifle Paper Co. for Samsung Galaxy S20 Ultra","Case-mate","new","in stock","29.00","AUD","Covers","price_0_100","margin_high","AU","local","https://www.phonebot.com.au/covers/case-mate-rifle-paper-co.-for-samsung-galaxy-s20-ultra"
"2766","Case-Mate Rifle Paper Co. for Samsung Galaxy S20 Ultra","Case-mate","new","in stock","29.00","AUD","Covers","price_0_100","margin_high","AU","online","https://www.phonebot.com.au/covers/case-mate-rifle-paper-co.-for-samsung-galaxy-s20-ultra"
"2768","Axessorize PROTech Protection Cover for LG K8X","Axessorize","new","in stock","29.00","AUD","Covers","price_0_100","margin_high","AU","local","https://www.phonebot.com.au/covers/axessorize-protech-protection-cover-for-lg-k8x"
"2768","Axessorize PROTech Protection Cover for LG K8X","Axessorize","new","in stock","29.00","AUD","Covers","price_0_100","margin_high","AU","online","https://www.phonebot.com.au/covers/axessorize-protech-protection-cover-for-lg-k8x"
"2769","Rifle Paper Co. Case-Mate Clear Wild Rose Case for Apple iPhone 11 Pro","Case-mate","new","in stock","29.00","AUD","Covers","price_0_100","margin_high","AU","local","https://www.phonebot.com.au/covers/rifle-paper-co.-case-mate-clear-wild-rose-case-for-apple-iphone-11-pro"
