"Matched search term","Campaign name","Ad group name","Branded vs. non-branded search queries","Currency code","Cost","Clicks","Impressions","Conversions","Total conversion value"
"apple iphone 16 256gb ultramarine","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.63,1,4,0,0
"iphone 14 refurb","CJ - Refurbished Phones","Refurbished iPhones","non-branded","AUD",1.63,1,1,0,0
"google pixel refurbished australia","CJ - DSA (All Pages)","Google Phones","non-branded","AUD",1.62,1,3,0,0
"iphone 16 pro max black","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.62,1,7,0,0
"samsung s26 ultra","CJ - Refurbished Phones","Refurbished Samsung Phones","non-branded","AUD",1.62,1,9,0,0
"google pixel 10 fold 512gb","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",1.61,1,2,0,0
"ipad air m3","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.61,2,8,0,0
"pixel 9 pro 512gb","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.61,3,59,0,0
"used iphone 15 pro max","SS - Excluded Products - >$100","Products >$100","non-branded","AUD",1.61,1,2,0,0
"mac mini 24gb ram","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.6,1,4,0,0
"mobile phone","SS - Excluded Products - >$100","Products >$100","non-branded","AUD",1.6,1,74,0,0
"best price samsung s25+","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.59,1,1,0,0
"iphone 17 pro max 256gb new","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.59,1,18,0,0
"sell phone online","CJ - Sell Phone For Cash (Australia)","Sell Phone For Cash","non-branded","AUD",1.59,3,14,0,0
"best place to buy second hand phones","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",1.58,1,2,0,0
"iphone 15 pro max refurbished","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.58,1,38,0,0
"mobile phone refurbished","SS - Excluded Products - >$100","Products >$100","non-branded","AUD",1.58,1,3,0,0
"refurbished motorola razr unlocked","SS - Excluded Products - >$100","Products >$100","non-branded","AUD",1.58,1,2,0,0
"17 pro max","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.57,2,256,0,0
"motorola","SS - Excluded Products - >$100","Products >$100","non-branded","AUD",1.57,2,572,0,0
"motorola razr 60 ultra 512gb","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.57,3,15,0,0
"phone bot reviews","SS - Excluded Products - >$100","Products >$100","branded","AUD",1.57,1,18,0,0
"refurbished galaxy phones","CJ - Refurbished Phones","Refurbished Samsung Phones","non-branded","AUD",1.5688,1,4,0,0
"galaxy 7 fold","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.56,1,4,0,0
"pixel 10 pro","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.56,3,414,0,0
"fold6","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.55,4,16,0,0
"motorola razr 60 australia","SS - Excluded Products - >$100","Products >$100","non-branded","AUD",1.55,1,3,0,0
"17 pro","SS - Excluded Products - >$100","Products >$100","non-branded","AUD",1.54,2,28,0,0
"razor 60 ultra","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.54,2,16,0,0
"s26 ultra refurbished","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.54,1,44,0,0
"second hand iphone 14 pro","CJ - Refurbished Phones","Refurbished iPhones","non-branded","AUD",1.54,2,1,0,0
"iphone 16 pro brand new price","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.53,5,42,0.46,468.54
"iphone 16256 gb","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.53,1,1,0,0
"samsung phone comparisons","CJ - Refurbished Phones","Refurbished Samsung Phones","non-branded","AUD",1.53,1,1,0,0
"sell s24 plus","CJ - Sell Phone For Cash (Australia)","Sell Phone For Cash","non-branded","AUD",1.5292,5,27,0,0
"apple iphone 17","CJ - Refurbished Phones","Refurbished iPhones","non-branded","AUD",1.5282,1,2,0,0
"buy iphone 17 used","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.52,1,1,0,0
"buy refurbished phone","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",1.5194,1,1,0,0
"flip 6 refurbished","CJ - Refurbished Phones","Refurbished Samsung Phones","non-branded","AUD",1.51,1,1,0,0
"fold 6","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.51,3,148,0,0
"samsung flip 7","SS - Excluded Products - >$100","Products >$100","non-branded","AUD",1.51,2,35,0,0
"z fold 6 dimensions","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.51,1,4,0.5,557
"iphone 15 1tb","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.5,2,22,0,0
"iphone for sale","CJ - Refurbished Phones","Refurbished iPhones","non-branded","AUD",1.5,1,2,0,0
"motorola phones","CJ - DSA (All Pages)","Motorola Phones","non-branded","AUD",1.5,1,4,0,0
"google pixel 8 pro australia","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",1.49,1,3,0,0
"samsung s22 refurbished","CJ - Refurbished Phones","Refurbished Samsung Phones","non-branded","AUD",1.49,1,5,0,0
"asus zenfone 10","SS - Excluded Products - >$100","Products >$100","non-branded","AUD",1.48,2,22,0,0
"s24 refurbished australia","CJ - Refurbished Phones","Refurbished Samsung Phones","non-branded","AUD",1.48,2,5,0,0
"samsung galaxy watch ultra","CJ - DSA (All Pages)","Samsung Watch","non-branded","AUD",1.48,1,1,0,0
"samsung ultra s26","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.48,2,30,0,0
"used google pixel","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",1.48,1,1,0,0
"cheapest mobile phones online","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",1.4724,1,1,0,0
"iphone 16 pro max 512gb used","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.47,1,3,0,0
"iphone 16 pro new for sale","SS - Excluded Products - >$100","Products >$100","non-branded","AUD",1.47,1,7,0,0
"refurbished phone melbourne","CJ - Refurbished Phones","Refurbished iPhones","non-branded","AUD",1.47,1,4,0,0
"samsung folding phone","SS - Excluded Products - >$100","Products >$100","non-branded","AUD",1.47,1,2,0,0
"256 gb iphone 17 sale","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.46,1,9,0,0
"google pixel 10 pro refurbished","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",1.46,1,4,0,0
"iphone 13 pro max australia","CJ - Refurbished Phones","Refurbished iPhones","non-branded","AUD",1.46,1,1,0,0
"apple iphone air 256gb space black","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.45,1,12,0,0
"iphone 16 plus price australia","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.45,1,3,0,0
"where to buy mobile phones","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",1.45,3,7,0,0
"iphone 13 price in australia","CJ - Refurbished Phones","Refurbished iPhones","non-branded","AUD",1.4407,1,1,0,0
"new galaxy flip 7","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.44,1,2,0,0
"samsung phone range","CJ - Refurbished Phones","Refurbished Samsung Phones","non-branded","AUD",1.4322,1,1,0,0
"z fold 7 refurbished","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.43,1,40,0,0
"samsung galaxy s25 ultra refurbished","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.42,1,30,0,0
"buy my phone australia","CJ - Sell Phone For Cash (Australia)","Sell Phone For Cash","non-branded","AUD",1.4124,1,3,0,0
"apple store online australia","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.41,1,12,0,0
"samsung galaxy s25","CJ - Refurbished Phones","Refurbished Samsung Phones","non-branded","AUD",1.41,1,8,0,0
"galaxy a56 refurbished","CJ - Refurbished Phones","Refurbished Samsung Phones","non-branded","AUD",1.39,1,1,0,0
"refurbished mobile phones","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",1.39,1,18,0,0
"galaxy z flip 7","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.38,1,76,0,0
"samsung galaxy s24 ultra 5g 1tb","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.38,1,3,0,0
"used samsung s23","CJ - Refurbished Phones","Refurbished Samsung Phones","non-branded","AUD",1.38,1,1,0,0
"xiaomi phone","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",1.38,1,1,0,0
"refurbished smart watch","CJ - DSA (All Pages)","Samsung Watch","non-branded","AUD",1.3766,2,6,0,0
"buy iphone 16 pro 512gb","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.37,1,6,0,0
"iphone 15pro 1tb","SS - All Products >$1000","All Products > $1000","branded","AUD",1.37,1,8,0,0
"iphone with largest storage","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.37,1,1,0,0
"samsung 26 ultra","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.37,2,30,0,0
"refurbished ipad 11th generation","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",1.3663,1,1,0,0
"google pixel pro fold 10","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.36,1,30,0,0
"pixel 9 pro xl used","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",1.36,1,2,0,0
"motorola 60 ultra","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.35,4,31,0,0
"new phones 2026","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.35,1,3,0,0
"phonobot","CJ - DSA (All Pages)","DeGoogled Phones","branded","AUD",1.35,1,2,0,0
"refurbished pixel 10 pro","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.35,1,14,0,0
"s25 cheapest price","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",1.3444,1,1,0,0
"easter phone offers","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.33,1,3,0,0
"google fold phone","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",1.33,1,6,0,0
"huawei phones 5g","SS - Excluded Products - >$100","Products >$100","non-branded","AUD",1.33,1,1,0,0
"iphone 17 lavender 256 gb","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.33,1,1,0,0
"motorola razr refurbished","SS - Excluded Products - >$100","Products >$100","non-branded","AUD",1.33,2,6,0,0
"pixel 10 pro price","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.33,1,10,0,0
"samsung s25 ultra new","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.33,1,26,0,0
"refurbished oppo","CJ - Refurbished Phones","Oppo","non-branded","AUD",1.32,1,3,0,0
"refurbished s23","CJ - Refurbished Phones","Refurbished Samsung Phones","non-branded","AUD",1.31,1,3,0,0
"ipad air 256 cellular","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.3,1,1,0,0
"ipad pro m5 second hand","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.3,2,27,0,0
"iphone 16 pro 512gb refurbished","SS - Excluded Products - >$100","Products >$100","non-branded","AUD",1.3,1,1,0,0
"google pixel fold australia","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",1.29,1,1,0,0
"iphone 16 pro max 512gb refurbished","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.29,2,15,0,0
"iphone 15 pro 512 gb","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.28,1,11,0,0
"iphone 18 price","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.28,1,5,0,0
"mg8g4x a","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.28,2,1,0,0
"motorola razr 50","SS - Excluded Products - >$100","Products >$100","non-branded","AUD",1.28,3,90,0,0
"phone bot near me","CJ - Phonebot (B) - Lower ROAS","Phonebot","branded","AUD",1.2796,5,14,0,0
"motorola razr fold","SS - Excluded Products - >$100","Products >$100","non-branded","AUD",1.27,2,51,0,0
"motorola razr ultra","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.27,4,78,0,0
"z fold 7 출시일","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.27,1,1,0,0
"sell my phone australia","CJ - Sell Phone For Cash (Australia)","Sell Phone For Cash","non-branded","AUD",1.2677,2,19,0,0
"iphone 16 pro max sealed","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.26,1,1,0,0
"motorola razr 60 ultra pantone mountain trail","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.26,1,2,0,0
"oneplus 15 australia","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",1.26,1,4,0,0
"pixel fold 10 pro","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.26,1,91,0,0
"recell phones","CJ - DSA (All Pages)","DeGoogled Phones","non-branded","AUD",1.26,1,1,0,0
"sell my i phone","CJ - Sell Phone For Cash (Australia)","Sell Phone For Cash","non-branded","AUD",1.26,1,3,0,0
"cheapest ipad australia","CJ - Refurbished Phones","Refurbished iPhones","non-branded","AUD",1.2585,1,1,0,0
"fold 6 brand new","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.25,1,2,0,0
"samsung s24 fe","CJ - Refurbished Phones","Refurbished Samsung Phones","non-branded","AUD",1.25,1,6,0,0
"phone store iphone","CJ - Refurbished Phones","Refurbished iPhones","non-branded","AUD",1.24,1,1,0,0
"mobile shop near me","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",1.2394,3,22,0,0
"samsung watch for women","CJ - DSA (All Pages)","Samsung Watch","non-branded","AUD",1.2391,1,1,0,0
"mobile phones preston","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",1.2322,1,2,0,0
"cex australia","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.23,1,3,0,0
"refurbished phones","SS - Excluded Products - >$100","Products >$100","non-branded","AUD",1.23,1,164,0,0
"iphone 16 pro brand new","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.22,1,70,0,0
"refurbished samsung galaxy s21 ultra","CJ - Refurbished Phones","Refurbished Samsung Phones","non-branded","AUD",1.22,1,1,0,0
"samsung galaxy s23 ultra australia","CJ - Refurbished Phones","Refurbished Samsung Phones","non-branded","AUD",1.22,1,3,0,0
"apple iphone 17 5g 256gb","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.21,1,5,0,0
"samsung s24 plus brand new","CJ - Refurbished Phones","Refurbished Samsung Phones","non-branded","AUD",1.21,1,3,0,0
"second hand refurbished phones","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",1.21,1,1,0,0
"buy refurbished iphone","CJ - Refurbished Phones","Refurbished iPhones","non-branded","AUD",1.2,1,9,0,0
"refurbished iphone geelong","CJ - Refurbished Phones","Refurbished iPhones","non-branded","AUD",1.2,3,8,0,0
"samsung s22 phone","CJ - Refurbished Phones","Refurbished Samsung Phones","non-branded","AUD",1.2,1,2,0,0
"iphone 17 green","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.19,1,23,0,0
"samsung galaxy fold plan","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.19,1,2,0,0
"phonebot contact","CJ - Phonebot (B) - Lower ROAS","Phonebot","branded","AUD",1.19,2,16,0,0
"honor phones australia","SS - Excluded Products - >$100","Products >$100","non-branded","AUD",1.18,2,4,0,0
"s25 plus 512","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.18,2,6,0,0
"refurbished samsung s26","CJ - Refurbished Phones","Refurbished Samsung Phones","non-branded","AUD",1.1781,1,2,0,0
"allphones","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",1.17,1,6,0,0
"best mobile phone deals australia","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",1.17,1,1,0,0
"google pixel 8 refurbished","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",1.17,1,3,0,0
"google pixel 9 pro fold australia","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",1.17,1,3,0,0
"google shop australia","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.17,1,1,0,0
"nothing phone 3a","SS - Excluded Products - >$100","Products >$100","non-branded","AUD",1.17,1,3,0,0
"oppo flip","SS - Excluded Products - >$100","Products >$100","non-branded","AUD",1.17,3,25,0,0
"samsung ultra s25 512gb","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.17,1,5,0,0
"second hand iphone 15 plus","CJ - Refurbished Phones","Refurbished iPhones","non-branded","AUD",1.1607,1,1,0,0
"15 pro max","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.16,1,25,0,0
"galaxy s24 ultra","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.16,1,166,0,0
"iphone 17 white 256","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.16,2,21,0,0
"refurbished pixel","CJ - DSA (All Pages)","Google Phones","non-branded","AUD",1.16,1,7,0,0
"三星 s23 ultra 二手","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.15,1,2,0,0
"cheapest refurbished phones","CJ - DSA (All Pages)","DeGoogled Phones","non-branded","AUD",1.14,1,1,0,0
"iphone 14 pro price in australia","CJ - Refurbished Phones","Refurbished iPhones","non-branded","AUD",1.14,1,2,0,0
"ipad pro m5 512gb","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.13,1,10,0,0
"samsung galaxy 22+","CJ - Refurbished Phones","Refurbished Samsung Phones","non-branded","AUD",1.13,1,1,0,0
"iphone 17 pro max payment plan","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.12,1,34,0,0
"phone shop reservoir","CJ - Refurbished Phones","Refurbished iPhones","non-branded","AUD",1.12,5,16,0.44,123.26
"refurbished ipads 2024","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",1.1151,1,1,0,0
"pixel fold 10","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.11,2,94,0,0
"refurbished samsung mobiles","CJ - Refurbished Phones","Refurbished Samsung Phones","non-branded","AUD",1.11,1,1,0,0
"selling my phone","CJ - Sell Phone For Cash (Australia)","Sell Phone For Cash","non-branded","AUD",1.11,1,6,0,0
"brand new s25 ultra","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.1,2,2,0,0
"iphone 16 512g","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.1,1,9,0,0
"apple iphone 17 256gb","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.09,1,90,0,0
"honor magic v5","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.09,3,243,0,0
"iphone 16 plus sale","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.09,1,12,0,0
"mobile phone sales melbourne","SS - Excluded Products - >$100","Products >$100","non-branded","AUD",1.09,1,1,0,0
"phone recycle","CJ - Sell Phone For Cash (Australia)","Sell Phone For Cash","non-branded","AUD",1.09,1,1,0,0
"refurbished iphone store near me","CJ - Refurbished Phones","Refurbished iPhones","non-branded","AUD",1.0862,1,5,0,0
"google pixel 10 pro fold 256gb","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.08,1,20,0,0
"s25 ultra price","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",1.0749,1,2,0,0
"buy samsung galaxy a57 5g","CJ - Refurbished Phones","Refurbished Samsung Phones","non-branded","AUD",1.07,1,1,0,0
"used phone shop melbourne","SS - Excluded Products - >$100","Products >$100","non-branded","AUD",1.07,1,1,0,0
"sell my mobile","CJ - Sell Phone For Cash (Australia)","Sell Phone For Cash","non-branded","AUD",1.063,1,16,0,0
"buy iphone 16 pro","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.06,1,58,1,1179
"dual physical sim phones australia","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.06,1,9,0,0
"google pixel 9 pro xl 1tb","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.06,1,16,0,0
"iphone 17 512","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.06,1,25,0,0
"samsung flip 256gb","SS - Excluded Products - >$100","Products >$100","non-branded","AUD",1.06,1,1,0,0
"samsung s24 fe flip","CJ - Refurbished Phones","Refurbished Samsung Phones","non-branded","AUD",1.0524,1,1,0,0
"2nd hand phones","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",1.05,1,6,0,0
"optus","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.05,1,25,0,0
"pixel 10 pro 256 refurbished","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.05,1,1,0,0
"trade in my iphone 13 mini","CJ - Sell Phone For Cash (Australia)","Sell Phone For Cash","non-branded","AUD",1.0427,1,1,0,0
"2nd hand s23 ultra","CJ - Refurbished Phones","Refurbished Samsung Phones","non-branded","AUD",1.04,1,1,0,0
"google 10 pro fold","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.04,1,39,0,0
"google pixel 5 refurbished australia","CJ - DSA (All Pages)","Google Phones","non-branded","AUD",1.04,1,1,0,0
"new s24 ultra","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.04,1,12,0,0
"phone reservoir","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",1.04,1,1,0,0
"samsung z flip 7 refurbished","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.04,1,4,0,0
"sell my iphone near me","CJ - Sell Phone For Cash (Australia)","Sell Phone For Cash","non-branded","AUD",1.0369,2,6,0,0
"honor","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.03,1,8,0,0
"iphone 17 blue","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.03,2,27,0,0
"samsung s30 ultra price","CJ - Refurbished Phones","Refurbished Samsung Phones","non-branded","AUD",1.03,1,2,0,0
"z fold6","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.03,1,4,0,0
"iphone air 256gb","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.02,1,205,0,0
"iphone air best price","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.02,1,33,0,0
"samsung flip 7 refurbished","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.02,1,13,0,0
"z fold 6 australia","CJ - Refurbished Phones","Refurbished Samsung Phones","non-branded","AUD",1.02,1,1,0,0
"phone shop preston","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",1.0105,2,3,0,0
"buy samsung fold 6","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.01,1,1,0,0
"iphone 16 pro max for sale","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.01,1,26,0,0
"mobile buyers","CJ - Sell Phone For Cash (Australia)","Sell Phone For Cash","non-branded","AUD",1.01,1,1,0,0
"samsung s22 ultra refurbished","CJ - Refurbished Phones","Refurbished Samsung Phones","non-branded","AUD",1.01,1,1,0,0
"samsung s25 ultra brand new","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.01,1,9,0,0
"refurbished iphone near me","CJ - Refurbished Phones","Refurbished iPhones","non-branded","AUD",1.0037,2,19,0,0
"best price iphone 16 pro max","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1,1,4,0,0
"iphone 17 amazon","Standard Shopping - iPhone 17","Iphone 17","non-branded","AUD",1,1,1,0,0
"where to buy iphone 15 pro max","SS - Excluded Products - >$100","Products >$100","non-branded","AUD",1,1,2,0,0
"cheap phones","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",0.99,1,16,0,0
"google 9 pro 512gb","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.99,2,5,0,0
"ipad pro","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.99,1,178,0,0
"iphone 15 pro max 256","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.99,1,8,0,0
"iphone 17 pro","Standard Shopping - iPhone 17","Iphone 17","non-branded","AUD",0.99,1,122,0,0
"phone 17","Standard Shopping - iPhone 17","Iphone 17","non-branded","AUD",0.99,1,2,0,0
"galaxy s23 ultra 5g price drop","CJ - Refurbished Phones","Refurbished Samsung Phones","non-branded","AUD",0.9899,1,1,0,0
"australia refurbished phones","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",0.98,1,1,0,0
"iphone 17 pro","SS - Excluded Products - >$100","Products >$100","non-branded","AUD",0.98,1,309,0,0
"best phone","Standard Shopping - iPhone 17","Iphone 17","non-branded","AUD",0.97,1,1,0,0
"buy refurbished samsung phone","CJ - Refurbished Phones","Refurbished Samsung Phones","non-branded","AUD",0.97,1,7,0,0
"google pixel 9 pro 1tb","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.97,1,20,0,0
"iphone 17 pro max 256gb lowest price","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.97,1,1,0,0
"sell my phone online","CJ - Sell Phone For Cash (Australia)","Sell Phone For Cash","non-branded","AUD",0.97,1,4,0,0
"xiaomi 17 pro max australia","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",0.97,1,3,0,0
"iphone 17pro max","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.96,1,37,0,0
"phonebot australia","SS - Excluded Products - >$100","Products >$100","branded","AUD",0.96,14,360,0,0
"pixel 9 pro xl deals","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.96,1,1,0,0
"pixel pro 10 512gb","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.96,1,1,0,0
"razr 60 ultra australia","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.96,3,24,0,0
"refurbished samsung s20 ultra","CJ - Refurbished Phones","Refurbished Samsung Phones","non-branded","AUD",0.96,1,4,0,0
"sell your phone","CJ - Sell Phone For Cash (Australia)","Sell Phone For Cash","non-branded","AUD",0.9527,3,17,0,0
"iphone 14","CJ - Refurbished Phones","Refurbished iPhones","non-branded","AUD",0.95,1,85,0,0
"iphone 17 pro max 512 gb","Standard Shopping - iPhone 17","Iphone 17","non-branded","AUD",0.95,1,1,0,0
"iphone 17 white","Standard Shopping - iPhone 17","Iphone 17","non-branded","AUD",0.95,1,1,0,0
"iphone 17e","Standard Shopping - iPhone 17","Iphone 17","non-branded","AUD",0.95,1,29,0,0
"sell samsung tab","CJ - Sell Phone For Cash (Australia)","Sell Phone For Cash","non-branded","AUD",0.95,1,1,0,0
"refurbished iphones near me","CJ - Refurbished Phones","Refurbished iPhones","non-branded","AUD",0.9419,1,8,0,0
"google pixel 9a price australia","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",0.94,1,2,0,0
"ipad pro 13 inch 512gb wifi","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.94,1,5,0,0
"iphone 15 pro max refurbished 1tb","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.94,1,4,0,0
"nothing 3a","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",0.94,2,1,0,0
"oneplus open","CJ - Refurbished Phones","OnePlus","non-branded","AUD",0.9362,1,2,0,0
"ipad refurbished","CJ - Refurbished Phones","Refurbished iPhones","non-branded","AUD",0.93,1,3,0,0
"iphone 16 best price australia","SS - Excluded Products - >$100","Products >$100","non-branded","AUD",0.93,1,3,0,0
"robot phone","SS - Excluded Products - >$100","Products >$100","non-branded","AUD",0.93,1,1,0,0
"google pixel 9","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",0.9296,1,6,0,0
"sell my old phone","CJ - Sell Phone For Cash (Australia)","Sell Phone For Cash","non-branded","AUD",0.9269,2,13,0,0
"phones for cash near me","CJ - Sell Phone For Cash (Australia)","Sell Phone For Cash","non-branded","AUD",0.9268,1,3,0,0
"sell phone for cash","CJ - Sell Phone For Cash (Australia)","Sell Phone For Cash","non-branded","AUD",0.925,5,11,0,0
"refurbished samsung galaxy watch","CJ - DSA (All Pages)","Samsung Watch","non-branded","AUD",0.9203,1,4,0,0
"refurbished s23","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",0.9111,1,1,0,0
"phone payment plan","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",0.91,1,2,0,0
