"Matched search term","Campaign name","Ad group name","Branded vs. non-branded search queries","Currency code","Cost","Clicks","Impressions","Conversions","Total conversion value"
"samsung s22 plus 1tb","CJ - Refurbished Phones","Refurbished Samsung Phones","non-branded","AUD",2.85,1,1,0,0
"sell iphone","CJ - Sell Phone For Cash (Australia)","Sell Phone For Cash","non-branded","AUD",2.84,5,75,0,0
"newest iphone","SS - All Products >$1000","All Products > $1000","non-branded","AUD",2.83,1,4,0,0
"iphone 15 pro max 512gb","SS - All Products >$1000","All Products > $1000","non-branded","AUD",2.81,2,78,0,0
"samsung galaxy 8","CJ - Refurbished Phones","Refurbished Samsung Phones","non-branded","AUD",2.81,1,1,0,0
"motorola razr flip phone","SS - Excluded Products - >$100","Products >$100","non-branded","AUD",2.78,1,15,0,0
"google pixel 6a refurbished unlocked","CJ - DSA (All Pages)","Google Phones","non-branded","AUD",2.77,1,1,0,0
"iphone reservoir","CJ - Refurbished Phones","Refurbished iPhones","non-branded","AUD",2.7649,3,8,0,0
"iphone 16 pro 1tb","SS - All Products >$1000","All Products > $1000","branded","AUD",2.76,2,132,0,0
"phone shops","CJ - Refurbished Phones","Refurbished Phones","branded","AUD",2.76,2,5,0,0
"s25 ultra price","SS - All Products >$1000","All Products > $1000","non-branded","AUD",2.76,2,58,0,0
"used galaxy s24 ultra","CJ - Refurbished Phones","Refurbished Samsung Phones","non-branded","AUD",2.7582,1,1,0,0
"ipad 10th generation","CJ - Refurbished Phones","Refurbished iPhones","non-branded","AUD",2.74,1,6,0,0
"iphone 17 sale","SS - All Products >$1000","All Products > $1000","non-branded","AUD",2.73,7,269,0,0
"samsung a25","CJ - Refurbished Phones","Refurbished Samsung Phones","non-branded","AUD",2.72,1,1,0,0
"samsung galaxy fold 6","SS - All Products >$1000","All Products > $1000","non-branded","AUD",2.72,3,51,0,0
"iphone 256gb pro","SS - Excluded Products - >$100","Products >$100","non-branded","AUD",2.71,1,2,0,0
"iphone 17 pro max 256gb silver","SS - All Products >$1000","All Products > $1000","non-branded","AUD",2.7,1,47,0,0
"iphone 16 pro price in australia","CJ - Refurbished Phones","Refurbished iPhones","non-branded","AUD",2.694,2,1,0.39,399.01
"fold 5","CJ - Refurbished Phones","Refurbished Samsung Phones","non-branded","AUD",2.69,1,2,0,0
"pixel 10 pro xl","SS - All Products >$1000","All Products > $1000","non-branded","AUD",2.69,5,434,0,0
"samsung refurbished phones australia","CJ - Refurbished Phones","Refurbished Samsung Phones","non-branded","AUD",2.69,1,6,0,0
"google pixel fold 10","SS - All Products >$1000","All Products > $1000","non-branded","AUD",2.68,1,34,0,0
"iphone 16 pro 512","SS - All Products >$1000","All Products > $1000","non-branded","AUD",2.68,3,63,0,0
"phonebot reservoir vic","CJ - Phonebot (B) - Lower ROAS","Phonebot","branded","AUD",2.6706,5,14,0,0
"refurbished motorola razr","SS - Excluded Products - >$100","Products >$100","non-branded","AUD",2.67,1,5,0,0
"samsung galaxy s24 ultra","CJ - Refurbished Phones","Refurbished Samsung Phones","non-branded","AUD",2.6661,1,11,0,0
"iphone 15 pro max 512gb black","SS - All Products >$1000","All Products > $1000","non-branded","AUD",2.64,1,3,0,0
"samsung galaxy s23 new","CJ - Refurbished Phones","Refurbished Samsung Phones","non-branded","AUD",2.64,1,1,0,0
"demo iphone 17","SS - All Products >$1000","All Products > $1000","non-branded","AUD",2.63,1,2,0,0
"ipad pro 12.9 refurbished","SS - All Products >$1000","All Products > $1000","non-branded","AUD",2.63,1,8,0,0
"s24 ultra vs s26 ultra","CJ - Refurbished Phones","Refurbished Samsung Phones","non-branded","AUD",2.63,1,2,0,0
"google pixel 9 pro","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",2.6296,1,22,0,0
"iphone 11 refurbished","SS - Excluded Products - >$100","Products >$100","non-branded","AUD",2.59,1,2,0,0
"mac mini 32gb ram","SS - All Products >$1000","All Products > $1000","non-branded","AUD",2.59,1,4,1,1207
"samsung galaxy s24 phones for sale","SS - All Products >$1000","All Products > $1000","non-branded","AUD",2.59,2,17,0,0
"iphone bot","CJ - Phonebot (B) - Lower ROAS","Phonebot","branded","AUD",2.58,2,3,0,0
"refurbished tablets","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",2.57,2,4,0,0
"samsung with 2 cameras","CJ - Refurbished Phones","Refurbished Samsung Phones","non-branded","AUD",2.57,1,2,0,0
"iphone 17 pro max australian variant","SS - All Products >$1000","All Products > $1000","non-branded","AUD",2.56,1,7,0,0
"refurbished smart watch australia","CJ - DSA (All Pages)","Samsung Watch","non-branded","AUD",2.56,2,3,0,0
"samsung s25 plus","SS - All Products >$1000","All Products > $1000","non-branded","AUD",2.54,3,83,0,0
"best refurbished ipads australia","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",2.53,1,1,0,0
"iphone 15 pro 1tb","SS - All Products >$1000","All Products > $1000","branded","AUD",2.52,3,95,1,1207
"phonebot coupon codes","CJ - Phonebot (B)","Phonebot Coupon","branded","AUD",2.51,1,2,0,0
"iphone 15 256gb","CJ - Refurbished Phones","Refurbished iPhones","non-branded","AUD",2.5,1,1,0,0
"samsung fold refurbished","SS - All Products >$1000","All Products > $1000","non-branded","AUD",2.5,1,10,0,0
"refurbished iphone","SS - All Products >$1000","All Products > $1000","non-branded","AUD",2.49,2,105,0,0
"sell mobile phone","CJ - Sell Phone For Cash (Australia)","Sell Phone For Cash","non-branded","AUD",2.4824,4,19,0,0
"apple iphone 17 pro max 256gb silver","SS - All Products >$1000","All Products > $1000","non-branded","AUD",2.48,2,23,0,0
"iphone 13 mini","CJ - Refurbished Phones","Refurbished iPhones","non-branded","AUD",2.46,1,32,0,0
"samsung watch","CJ - DSA (All Pages)","Samsung Watch","non-branded","AUD",2.4518,1,5,0,0
"cheap samsung phones","CJ - Refurbished Phones","Refurbished Samsung Phones","non-branded","AUD",2.43,1,3,0,0
"iphone se 2022","CJ - Refurbished Phones","Refurbished iPhones","non-branded","AUD",2.4256,1,1,0.33,80.67
"new iphone 16","SS - All Products >$1000","All Products > $1000","non-branded","AUD",2.42,2,20,0,0
"refurbished iphone 16 pro","SS - All Products >$1000","All Products > $1000","non-branded","AUD",2.42,1,108,0,0
"google pixel 7 used","CJ - DSA (All Pages)","Google Phones","non-branded","AUD",2.41,1,1,0,0
"mac mini m4 256gb","SS - All Products >$1000","All Products > $1000","non-branded","AUD",2.41,1,1,0,0
"refurbished galaxy s24","CJ - Refurbished Phones","Refurbished Samsung Phones","non-branded","AUD",2.41,1,3,0,0
"second hand phones near me","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",2.39,3,14,0,0
"phone bot st kilda","CJ - Phonebot (B) - Lower ROAS","Phonebot","branded","AUD",2.38,3,5,0,0
"pixel 7a refurb","CJ - DSA (All Pages)","Google Phones","non-branded","AUD",2.38,1,1,0,0
